Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
 Enjoying a beautiful day at the park!              , Positive  ,12:30:00 PM,User123, Twitter  , #Nature #Park                            ,15,30, USA      ,2023,1,15,12
 Traffic was terrible this morning.                 , Negative  ,8:45:00 AM, CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Canada   ,2023,1,15,8
 Just finished an amazing workout! 💪               , Positive  ,3:45:00 PM, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,2023,1,15,15
 Excited about the upcoming weekend getaway!        , Positive  ,6:20:00 PM, AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,2023,1,15,18
 Trying out a new recipe for dinner tonight.        , Neutral   ,7:55:00 PM, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,2023,1,15,19
 Feeling grateful for the little things in life.    , Positive  ,9:10:00 AM, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    ,2023,1,16,9
 Rainy days call for cozy blankets and hot cocoa.   , Positive  ,2:45:00 PM, RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,2023,1,16,14
 The new movie release is a must-watch!             , Positive  ,7:30:00 PM, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,2023,1,16,19
 Political discussions heating up on the timeline.  , Negative  ,8:00:00 AM, DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, USA      ,2023,1,17,8
 Missing summer vibes and beach days.               , Neutral   ,12:20:00 PM, BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia ,2023,1,17,12
 Just published a new blog post. Check it out!      , Positive  ,3:15:00 PM, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,2023,1,17,15
 Feeling a bit under the weather today.             , Negative  ,10:30:00 AM, WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Canada   ,2023,1,18,10
 Exploring the city's hidden gems.                  , Positive  ,2:50:00 PM, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       ,2023,1,18,14
" New year, new fitness goals! 💪                    ", Positive  ,6:00:00 PM, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        ,2023,1,18,18
 Technology is changing the way we live.            , Neutral   ,9:45:00 AM, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15,30, India    ,2023,1,19,9
 Reflecting on the past and looking ahead.          , Positive  ,1:20:00 PM, Reflections  , Facebook , #Reflection #Future                     ,20,40, USA      ,2023,1,19,13
 Just adopted a cute furry friend! 🐾              , Positive  ,5:10:00 PM, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    ,2023,1,19,17
 Late-night gaming session with friends.            , Positive  ,12:05:00 AM, GamerX       , Twitter  , #Gaming #LateNight                      ,18,35, UK       ,2023,1,20,0
 Attending a virtual conference on AI.              , Neutral   ,11:30:00 AM, TechConference, Facebook , #AI #TechConference                     ,25,50,USA,2023,1,20,11
 Winter blues got me feeling low.                   , Negative  ,3:15:00 PM, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8,15, USA       ,2023,1,20,15
 Sipping coffee and enjoying a good book.           , Positive  ,8:40:00 AM, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22,45, India    ,2023,1,21,8
 Exploring the world of virtual reality.            , Positive  ,1:20:00 PM, VRExplorer   , Facebook , #VR #VirtualReality                     ,15,30,USA,2023,1,21,13
 Productive day ticking off my to-do list.          , Positive  ,4:45:00 PM, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30,60, USA ,2023,1,21,16
 Just finished a challenging workout routine.       , Positive  ,9:15:00 AM, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20,40, UK       ,2023,1,22,9
 Celebrating a milestone at work! 🎉               , Positive  ,2:30:00 PM, CareerMilestone, Facebook , #Career #Milestone                      ,12,25, Canada  ,2023,1,22,14
 Sunday brunch with friends.                        , Positive  ,12:00:00 PM, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15,30, UK ,2023,1,22,12
 Learning a new language for personal growth.       , Positive  ,4:20:00 PM, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25,50, India     ,2023,1,23,16
 Quiet evening with a good book.                    , Positive  ,7:45:00 PM, BookLover    , Instagram , #Reading #QuietTime                     ,15,30, Australia ,2023,1,23,19
 Reflecting on the importance of mental health.     , Positive  ,11:30:00 AM, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22,45, USA      ,2023,1,24,11
 New painting in progress! 🎨                       , Positive  ,3:00:00 PM, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12,25, Canada ,2023,1,24,15
 Weekend road trip to explore scenic views.         , Positive  ,5:30:00 PM, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18,35, UK        ,2023,1,24,17
 Enjoying a cup of tea and watching the sunset.     , Positive  ,6:00:00 PM, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15,30, India    ,2023,1,25,18
 Coding a new project with enthusiasm.              , Positive  ,1:15:00 PM, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30,60, USA ,2023,1,25,13
 Feeling inspired after attending a workshop.       , Positive  ,9:45:00 AM, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25,50,USA,2023,1,26,9
 Winter sports day at the local park.               , Positive  ,2:20:00 PM, WinterSports  , Twitter  , #WinterSports #Fun                     ,15,30, Canada   ,2023,1,26,14
 Quality time with family this weekend.             , Positive  ,5:40:00 PM, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22,45, UK        ,2023,1,26,17
 Attending a live music concert tonight.            , Positive  ,8:00:00 PM, MusicLover   , Instagram , #Music #ConcertNight                  ,18,35, USA ,2023,1,27,20
 Practicing mindfulness with meditation.            , Positive  ,12:30:00 PM, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15,30, India    ,2023,1,27,12
 Trying out a new dessert recipe.                   , Positive  ,4:10:00 PM, DessertExplorer, Facebook , #Dessert #Cooking                      ,12,25, Canada ,2023,1,27,16
 Excited about the upcoming gaming tournament.      , Positive  ,9:00:00 AM, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30,60,USA,2023,1,28,9
 Planning a garden makeover for spring.             , Positive  ,2:45:00 PM, GardenPlanner , Twitter  , #Gardening #Spring                     ,25,50, USA      ,2023,1,28,14
 Celebrating a friend's birthday tonight! 🎂       , Positive  ,7:30:00 PM, BirthdayBash , Facebook , #Birthday #Celebration                  ,15,30, UK ,2023,1,28,19
 Feeling accomplished after a productive day.       , Positive  ,5:00:00 PM, ProductivityWin, Instagram , #Accomplished #Success               ,22,45, India ,2023,1,29,17
 A cozy evening with a good movie.                 , Positive  ,8:20:00 PM, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18,35, Canada   ,2023,1,29,20
 Exploring local art galleries this weekend.        , Positive  ,11:30:00 AM, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15,30, USA      ,2023,1,30,11
 New book release from my favorite author!          , Positive  ,3:45:00 PM, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12,25, UK   ,2023,1,30,15
 Attending a virtual reality meetup.                , Positive  ,6:30:00 PM, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28,55, India    ,2023,1,30,18
 Reflecting on the beauty of nature.                , Positive  ,10:45:00 AM, NatureLover  , Facebook , #Nature #Reflection                     ,15,30, Australia ,2023,1,31,10
 Cooking a special dinner for loved ones.           , Positive  ,7:00:00 PM, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20,40, USA       ,2023,1,31,19
 Feeling optimistic about the week ahead.           , Positive  ,4:20:00 PM, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15,30, Canada   ,2023,1,31,16
 Starting a new fitness challenge tomorrow! 💪     , Positive  ,8:00:00 AM, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22,45, UK         ,2023,2,1,8
 Sunday bike ride through scenic trails.           , Positive  ,1:30:00 PM, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18,35, USA     ,2023,2,1,13
 Can't believe the injustice happening in our society., Anger        ,9:30:00 AM, SocialJustice   , Twitter  , #Injustice #Angry                            ,20,40, Canada     ,2023,2,11,9
 Feeling a sense of fear after watching a thriller movie. , Fear         ,9:15:00 PM, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15,30, USA          ,2023,2,11,21
 Heartbroken after hearing the news about a natural disaster. , Sadness      ,2:45:00 PM, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25,50, India      ,2023,2,12,14
 The state of the world's environment is just disgusting. , Disgust      ,6:20:00 PM, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18,35, UK         ,2023,2,12,18
 Pure happiness: celebrating a loved one's achievement! , Happiness    ,10:00:00 AM, ProudFriend     , Instagram , #Happiness #Celebration                   ,30,60, USA ,2023,2,13,10
 Laughter is the best medicine—enjoying a comedy show. , Joy          ,7:30:00 PM, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22,45, Canada    ,2023,2,13,19
 Sharing love and positive vibes with everyone! ❤️      , Love         ,8:30:00 AM, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,2023,2,14,8
 An amusing incident brightened up my day!               , Amusement    ,2:20:00 PM, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18,35, UK           ,2023,2,14,14
 Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,7:45:00 PM, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25,50, Canada       ,2023,2,14,19
 Admiring the beauty of nature during a peaceful hike.   , Admiration   ,11:30:00 AM, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20,40, USA       ,2023,2,15,11
 Sending affectionate vibes to all my followers!          , Affection    ,4:00:00 PM, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15,30,USA,2023,2,15,16
 Experiencing awe at the breathtaking sunset.            , Awe          ,8:30:00 PM, AweStruck       , Facebook , #Awe #Breathtaking                          ,22,45, Australia   ,2023,2,15,20
 Disappointed with the service at a local restaurant.    , Disappointed ,9:00:00 AM, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18,35, India      ,2023,2,16,9
 A surprise gift from a friend made my day!              , Surprise     ,2:45:00 PM, HappySurprise   , Instagram , #Surprise #Gift                              ,25,50, USA          ,2023,2,16,14
 Finding acceptance in the midst of life's challenges.   , Acceptance   ,6:20:00 PM, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15,30, Canada     ,2023,2,16,18
 Overflowing with adoration for my adorable pet! 🐾      , Adoration    ,10:45:00 AM, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22,45, UK        ,2023,2,17,10
 Anticipating a thrilling adventure in the coming weeks. , Anticipation ,7:30:00 AM, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20,40,USA,2023,2,17,7
 A bitter experience turned into a valuable lesson.      , Bitter       ,3:00:00 PM, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18,35, USA       ,2023,2,17,15
 Finding calmness in the midst of a busy day.            , Calmness     ,9:30:00 AM, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15,30, India     ,2023,2,18,9
 Confusion clouds my mind as I navigate through decisions., Confusion    ,2:20:00 PM, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25,50, UK   ,2023,2,18,14
 Excitement building up for the upcoming vacation!       , Excitement   ,6:45:00 PM, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22,45, Canada    ,2023,2,18,18
 Kindness witnessed today restored my faith in humanity. , Kind         ,11:30:00 AM, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20,40, USA       ,2023,2,19,11
 Pride in achieving a personal milestone.               , Pride        ,4:00:00 PM, PersonalAchiever, Instagram , #Pride #Milestone                           ,30,60, Australia    ,2023,2,19,16
 A moment of shame for not standing up against injustice. , Shame        ,7:45:00 PM, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15,30, India      ,2023,2,19,19
 Fuming with anger after a heated argument.            , Anger        ,9:30:00 AM, AngryDebater    , Twitter  , #Anger #Argument                             ,20,40, Canada     ,2023,2,20,9
 The fear of the unknown is keeping me up at night.    , Fear         ,9:15:00 PM, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15,30, USA          ,2023,2,20,21
 Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,2:45:00 PM, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25,50, India      ,2023,2,21,14
 The state of corruption in our society is utterly disgusting. , Disgust      ,6:20:00 PM, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18,35, UK         ,2023,2,21,18
